Compt_ID,Owner,Vegetation status,Veld age,Elevation,Rain,Runoff
C_H60B400169,CapeNature,LT,8,806,1195.3,598
C_H60B400170,CapeNature,LT,8,704,1103.3,552
C_H60B400176,CapeNature,LT,8,1008,1185.9,593
C_H60B400177,CapeNature,LT,8,658,1051.2,526
C_H60B400178,CapeNature,LT,8,787,1061.2,531
C_H60B400179,CapeNature,LT,8,990,1098.3,549
C_H60B400180,CapeNature,LT,8,1109,1125.9,563
C_H60B400181,CapeNature,LT,8,672,1027.7,514
C_H60B400182,CapeNature,LT,8,959,1053.5,527
C_H60B400183,CapeNature,LT,8,1012,1075.9,538
C_H60B400184,CapeNature,LT,8,951,1036.8,518
C_H60B400185,CapeNature,LT,8,862,1015.7,508
C_H60B400186,CapeNature,LT,8,803,1003.9,502
C_H60B400187,CapeNature,LT,8,656,987.8,494
C_H60B400188,CapeNature,LT,13,589,939.9,470
C_H60B400189,CapeNature,LT,8,452,1011.6,506
C_H60B400190,CapeNature,LT,8,411,979.8,490
C_H60B400191,CapeNature,LT,8,514,997.8,499
C_H60B400192,CapeNature,LT,8,542,1003.6,502
C_H60B400193,CapeNature,LT,10,312,914.2,457
C_H60B400194,CapeNature,LT,15,318,937.6,469
C_H60B400195,CapeNature,LT,16,301,884.1,442
C_H60B400204,CapeNature,LT,10,280,852.9,426
C_H60B400205,CapeNature,LT,8,307,855.1,428
C_H60B400206,CapeNature,LT,4,308,828.1,414
C_H60B400207,CapeNature,LT,8,606,934.8,467
C_H60B400208,CapeNature,LT,9,483,946,473
C_H60B400209,CapeNature,LT,14,529,946.9,473
C_H60B400210,CapeNature,LT,10,645,946.8,473
C_H60B400211,CapeNature,LT,14,595,939.6,470
C_H60B400212,CapeNature,LT,12,790,922,461
C_H60B400213,CapeNature,LT,13,588,939.4,470
C_H60B400214,CapeNature,LT,9,529,945.2,473
C_H60B400215,CapeNature,LT,9,765,930.6,465
C_H60B400216,CapeNature,LT,4,521,926.6,463
C_H60B400217,CapeNature,LT,3,767,920.2,460
C_H60B400218,CapeNature,LT,3,542,901.5,451
C_H60B400219,CapeNature,LT,4,403,882.9,441
C_H60B400220,CapeNature,LT,3,484,895.6,448
C_H60B400221,CapeNature,LT,3,466,843.6,422
C_H60B400222,CapeNature,LT,3,487,824.2,412
C_H60B400223,CapeNature,LT,3,856,762.7,381
C_H60B400224,CapeNature,LT,3,908,816.4,408
C_H60B400225,CapeNature,LT,7,996,942.2,471
C_H60B400226,CapeNature,LT,7,1052,922.5,461
C_H60B400227,CapeNature,LT,7,807,950,475
C_H60B400228,CapeNature,LT,7,996,916,458
C_H60B400229,CapeNature,LT,7,659,947.9,474
C_H60B400230,CapeNature,LT,8,1068,875.8,438
C_H60B400231,CapeNature,LT,7,1169,869.6,435
C_H60B400232,CapeNature,LT,8,1370,896.7,448
C_H60B400233,CapeNature,LT,10,762,927.4,464
C_H60B400234,CapeNature,LT,7,1084,885.5,443
C_H60B400235,CapeNature,LT,7,926,914.7,457
C_H60B400236,CapeNature,LT,7,779,943.1,472
C_H60B400237,CapeNature,LT,8,659,932.6,466
C_H60B400238,Private mountain catchment,LT,8,751,1003.6,502
C_H60B400239,CapeNature,LT,11,682,967.7,484
C_H60B400240,CapeNature,LT,27,463,943.4,472
C_H60B400241,CapeNature,LT,12,607,944.6,472
C_H60B400242,CapeNature,LT,3,390,839.5,420
C_H60B400243,Farm,LT,6,338,799.9,400
C_H60B400244,CapeNature,LT,5,318,629.6,315
C_H60B400245,CapeNature,LT,3,421,662,331
C_H60B400246,CapeNature,LT,3,388,624.2,312
C_H60B400247,CapeNature,LT,3,379,612,306
C_H60B400265,CapeNature,LT,9,306,786.4,393
C_H60B400266,CapeNature,LT,8,308,860.3,430
C_H60B400267,CapeNature,LT,10,277,834.8,417
C_H60B400268,CapeNature,LT,3,300,830.1,415
C_H60B400269,CapeNature,LT,4,305,839.1,420
C_H60B400270,CapeNature,LT,3,307,836,418
C_H60B400271,CapeNature,LT,3,300,800.7,400
C_H60B400272,CapeNature,LT,6,306,741.8,371
C_H60B400273,CapeNature,LT,9,350,960.3,480
C_H60B400274,CapeNature,LT,8,500,994.4,497
C_H60B400275,CapeNature,LT,8,378,962.3,481
C_H60B400276,CapeNature,LT,8,647,995,498
C_H60B400277,CapeNature,LT,8,440,973,487
C_H60B400278,CapeNature,LT,8,779,997.5,499
C_H60B400279,CapeNature,LT,8,577,994.2,497
C_H60B400280,CapeNature,LT,8,730,999,500
C_H60B400281,CapeNature,LT,8,371,953,477
C_H60B400282,Private mountain catchment,LT,8,699,990.1,495
C_H60B400283,Private mountain catchment,LT,8,808,997.7,499
C_H60B400284,Private mountain catchment,LT,8,722,965.9,483
C_H60B400285,Private mountain catchment,LT,11,717,923.5,462
C_H60B400286,Private mountain catchment,LT,12,784,901.2,451
C_H60B400287,Private mountain catchment,LT,20,705,915.8,458
C_H60B400288,Private mountain catchment,LT,14,751,899.9,450
C_H60B400289,CapeNature,LT,8,570,963.3,482
C_H60B400290,CapeNature,LT,16,384,953.7,477
C_H60B400291,CapeNature,LT,8,496,975,488
C_H60B400292,CapeNature,LT,13,427,952.5,476
C_H60B400293,CapeNature,LT,10,332,932.3,466
C_H60B400294,Private mountain catchment,LT,22,644,920.9,460
C_H60B400295,CapeNature,LT,17,572,928,464
C_H60B400296,CapeNature,LT,5,780,865.6,433
C_H60B400297,CapeNature,LT,3,494,863.5,432
C_H60B400298,CapeNature,LT,3,1034,891.4,446
C_H60B400299,CapeNature,LT,4,1086,877.2,439
C_H60B400300,CapeNature,LT,8,872,901,451
C_H60B400301,CapeNature,LT,8,1101,889,445
C_H60B400302,CapeNature,LT,5,1439,876,438
C_H60B400303,CapeNature,LT,8,1261,889.5,445
C_H60B400304,Private mountain catchment,LT,7,833,921.5,461
C_H60B400305,Private mountain catchment,LT,8,1125,875.2,438
C_H60B400306,CapeNature,LT,7,1221,882.7,441
C_H60B400307,CapeNature,LT,7,1234,863.9,432
C_H60B400308,CapeNature,LT,7,1244,865.7,433
C_H60B400309,CapeNature,LT,3,1367,878.4,439
C_H60B400314,Private mountain catchment,LT,7,1084,870.3,435
C_H60B400315,Private mountain catchment,LT,6,1059,869.8,435
C_H60B400316,CapeNature,LT,3,1240,850.3,425
C_H60B400317,CapeNature,LT,3,457,795,398
C_H60B400318,CapeNature,LT,3,452,764.4,382
C_H60B400319,CapeNature,LT,3,465,747,374
C_H60B400320,CapeNature,LT,3,444,713.2,357
C_H60B400321,CapeNature,LT,3,1092,771.6,386
C_H60B400322,CapeNature,LT,5,1358,741.9,371
C_H60B400323,CapeNature,LT,3,1170,810.7,405
C_H60B400324,CapeNature,LT,3,804,777.4,389
C_H60B400325,CapeNature,LT,3,720,782.7,391
C_H60B400326,CapeNature,LT,3,1433,879,440
C_H60B400335,CapeNature,LT,8,953,1021.7,511
C_H60B400340,CapeNature,LT,7,577,942.3,471
C_H60B400342,CapeNature,LT,8,960,886,443
C_H60B400343,CapeNature,LT,8,1216,883.8,442
C_H60B400344,CapeNature,LT,8,1180,870.3,435
C_H60B400371,CapeNature,LT,13,476,942.4,471
C_H60B400372,CapeNature,LT,14,473,948,474
